

 8176 atoms
17 atom types
-49 72.0363 xlo xhi
0 24.2487 ylo yhi
-4.55 50.05 zlo zhi

Masses

1  12.01070 # CpB
2  12.01070 # CC1
3  12.01070 # CC2
4  12.01070 # CE
5  12.01070 # CH
6  12.01070 # CW
7  15.99940 # OC1
8  15.99940 # OC2
9  15.99940 # OE
10  15.99940 # OH
11  15.99940 # OW
12  15.99940 # OD
13  1.00794 # HC
14  1.00794 # HH
15  1.00794 # HW
16  2.01410 # HD
17  12.01070 # CpE
Atoms # charge
203 1 0.000000 19.600000 8.487049  0.000000
204 17 0.000000 23.800000 8.487049  0.000000
205 1 0.000000 2.800000 10.911920  0.000000
206 1 0.000000 7.000000 10.911920  0.000000
207 1 0.000000 11.200000 10.911920  0.000000
208 5 0.000000 15.400000 10.911920  0.000000
209 5 0.000000 19.600000 10.911920  0.000000
210 17 0.000000 23.800000 10.911920  0.000000
211 1 0.000000 2.800000 13.336791  0.000000
212 5 0.000000 7.000000 13.336791  0.000000
213 5 0.000000 11.200000 13.336791  0.000000
214 1 0.000000 15.400000 13.336791  0.000000
215 5 0.000000 19.600000 13.336791  0.000000
216 17 0.000000 23.800000 13.336791  0.000000
217 1 0.000000 2.800000 15.761662  0.000000
218 1 0.000000 7.000000 15.761662  0.000000
219 1 0.000000 11.200000 15.761662  0.000000
220 1 0.000000 15.400000 15.761662  0.000000
221 1 0.000000 19.600000 15.761662  0.000000
222 17 0.000000 23.800000 15.761662  0.000000
223 1 0.000000 2.800000 18.186533  0.000000
224 5 0.000000 7.000000 18.186533  0.000000
225 5 0.000000 11.200000 18.186533  0.000000
226 1 0.000000 15.400000 18.186533  0.000000
227 1 0.000000 19.600000 18.186533  0.000000
228 17 0.000000 23.800000 18.186533  0.000000
229 1 0.000000 2.800000 20.611405  0.000000
230 1 0.000000 7.000000 20.611405  0.000000
231 1 0.000000 11.200000 20.611405  0.000000
232 5 0.000000 15.400000 20.611405  0.000000
233 1 0.000000 19.600000 20.611405  0.000000
234 17 0.000000 23.800000 20.611405  0.000000
235 1 0.000000 2.800000 23.036276  0.000000
236 5 0.000000 7.000000 23.036276  0.000000
237 1 0.000000 11.200000 23.036276  0.000000
238 1 0.000000 15.400000 23.036276  0.000000
239 1 0.000000 19.600000 23.036276  0.000000
240 17 0.000000 23.800000 23.036276  0.000000
241 10 0.000000 16.800000 18.186533  -1.350000
242 14 0.000000 15.892302 18.186533  -1.662545
243 10 0.000000 8.400000 13.336791  -1.350000
244 14 0.000000 7.492302 13.336791  -1.662545
245 10 0.000000 4.200000 6.062178  -1.350000
246 14 0.000000 3.292302 6.062178  -1.662545
247 10 0.000000 2.100000 14.549227  -1.350000
248 14 0.000000 1.192302 14.549227  -1.662545
249 10 0.000000 21.700000 19.398969  -1.350000
250 14 0.000000 20.792302 19.398969  -1.662545
251 10 0.000000 14.700000 19.398969  -1.350000
252 14 0.000000 13.792302 19.398969  -1.662545
253 10 0.000000 23.100000 4.849742  -1.350000
254 14 0.000000 22.192302 4.849742  -1.662545
255 10 0.000000 2.100000 12.124356  1.350000
256 14 0.000000 1.192302 12.124356  1.662545
257 10 0.000000 10.500000 9.699485  -1.350000
258 14 0.000000 9.592302 9.699485  -1.662545
259 10 0.000000 15.400000 3.637307  -1.350000
260 14 0.000000 14.492302 3.637307  -1.662545
261 10 0.000000 11.200000 3.637307  -1.350000
262 14 0.000000 10.292302 3.637307  -1.662545
263 10 0.000000 21.700000 2.424871  1.350000
264 14 0.000000 20.792302 2.424871  1.662545
265 10 0.000000 8.400000 6.062178  -1.350000
266 14 0.000000 7.492302 6.062178  -1.662545
267 10 0.000000 13.300000 16.974098  -1.350000
268 14 0.000000 12.392302 16.974098  -1.662545
269 10 0.000000 2.800000 1.212436  -1.350000
270 14 0.000000 1.892302 1.212436  -1.662545
271 10 0.000000 21.700000 9.699485  1.350000
272 14 0.000000 20.792302 9.699485  1.662545
273 10 0.000000 6.300000 9.699485  1.350000
274 14 0.000000 5.392302 9.699485  1.662545
275 10 0.000000 4.200000 18.186533  -1.350000
276 14 0.000000 3.292302 18.186533  -1.662545
277 10 0.000000 9.100000 0.000000  -1.350000
278 14 0.000000 8.192302 0.000000  -1.662545
279 10 0.000000 16.800000 6.062178  -1.350000
280 14 0.000000 15.892302 6.062178  -1.662545
281 10 0.000000 7.000000 18.186533  -1.350000
282 14 0.000000 6.092302 18.186533  -1.662545
283 10 0.000000 14.700000 9.699485  -1.350000
284 14 0.000000 13.792302 9.699485  -1.662545
285 10 0.000000 17.500000 7.274613  1.350000
286 14 0.000000 16.592302 7.274613  1.662545
287 10 0.000000 4.200000 10.911920  1.350000
