LAMMPS (31 Mar 2017)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-1.0556 -1.05564 -1.05564) to (83.4466 83.4466 83.4466)
  6 by 4 by 4 MPI processor grid
  reading atoms ...
  63998 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  0 = max # of 1-2 neighbors
  0 = max # of 1-3 neighbors
  0 = max # of 1-4 neighbors
  1 = max # of special neighbors
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          1         
  special bond factors coul: 0          0          1         
  0 = max # of 1-2 neighbors
  0 = max # of 1-3 neighbors
  1 = max # of special neighbors
1 atoms in group pull
3199 atoms in group freez
PPPM initialization ...
WARNING: Using 12-bit tables for long-range coulomb (../kspace.cpp:321)
  G vector (1/distance) = 0.294194
  grid = 125 125 125
  stencil order = 5
  estimated absolute RMS force accuracy = 0.000416749
  estimated relative force accuracy = 1.25503e-06
  using double precision FFTs
  3d grid and FFT values/proc = 44109 31250
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 10000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 13.91 | 14.36 | 15.08 Mbytes
Step TotEng Temp Press PotEng KinEng Enthalpy f_9[3] f_9[4] f_9[5] f_9[6] f_9[7] 
  544200    -10081399    922.47274    1585.9577    -10257373    175973.58    -10067459     -6.37133     -6.37133    59.317241    83.054813    9.7859481 
  544400    -10082536    921.58248   -245.30997    -10258340    175803.75    -10084694    27.923711    27.923711    59.317041     83.08874    9.7942289 
  544600    -10080415    926.82451   -690.44018    -10257219    176803.73    -10086492     48.73029     48.73029    59.316841    83.048224    9.8035209 
  544800    -10081441    921.30746   -36.222055    -10257192    175751.28    -10081760    60.215392    60.215392    59.316641    83.236956       9.8129 
  545000    -10081999    921.42639   -532.60019    -10257773    175773.97    -10086685   -15.301044   -15.301044    59.316441    82.900558    9.8203849 
  545200    -10080001    928.58839    513.17352    -10257141    177140.22    -10075487    17.765015    17.765015    59.316241    82.864517    9.8288533 
  545400    -10081740    921.02514   -301.97164    -10257438    175697.43    -10084397    29.558195    29.558195    59.316041    83.067943    9.8370369 
  545600    -10081147     921.4428   -501.97476    -10256924     175777.1    -10085563    66.789387    66.789387    59.315841    83.263191    9.8456391 
  545800    -10079583    929.02316    435.99708    -10256807    177223.15    -10075747    106.91226    106.91226    59.315641    83.282888    9.8559141 
  546000    -10081355    923.45126    271.92112    -10257516    176160.24    -10078964    61.441214    61.441214    59.315441    83.114411    9.8635762 
  546200    -10081219    920.66001    601.79155    -10256847    175627.77    -10075927    52.163073    52.163073    59.315241    83.129858    9.8717721 
  546400    -10079407    926.41131   -30.887939    -10256132    176724.91    -10079679    44.249978    44.249978    59.315041    83.116182    9.8784801 
  546600    -10080894      922.552   -635.78045    -10256883    175988.69    -10086491    31.387285    31.387285    59.314841    83.226358    9.8856692 
  546800    -10081323    921.75512    778.55568    -10257160    175836.68    -10074476     10.18246     10.18246    59.314641    83.067641    9.8926184 
  547000    -10079826    923.46057    434.57194    -10255988    176162.02    -10076002    40.490703    40.490703    59.314441    82.942896    9.9007761 
  547200    -10080904    920.37628   -895.19745    -10256478    175573.65    -10088784    37.967431    37.967431    59.314241    83.198274    9.9084631 
  547400    -10081455    920.70513   -228.46882    -10257091    175636.38    -10083465    9.8412761    9.8412761    59.314041    82.966222    9.9161802 
  547600    -10079853    927.84912    262.91643    -10256852    176999.19    -10077540     32.17459     32.17459    59.313841    83.088253    9.9247247 
  547800    -10079981    926.34049    491.34789    -10256693     176711.4    -10075659    43.759801    43.759801    59.313641    83.109586    9.9305797 
  548000    -10081751    922.08906   -768.42539    -10257652    175900.38    -10088514     99.65893     99.65893    59.313441    83.169764     9.940223 
  548200    -10080631     930.2324   -372.71164    -10258084    177453.83    -10083910    17.545752    17.545752    59.313241    82.947566    9.9495173 
  548400    -10080248    925.75018   -250.86951    -10256846    176598.79    -10082455    28.523076    28.523076    59.313041     83.21031    9.9567247 
  548600    -10082016    919.71615    -908.1461    -10257464    175447.72    -10090009    39.821707    39.821707    59.312841    82.887797    9.9649313 
  548800    -10080383    923.23807   -937.52032    -10256502    176119.57    -10088636     52.17727     52.17727    59.312641    83.079066    9.9744428 
  549000    -10081071    920.30198    716.63301    -10256630    175559.47    -10074767    71.365118    71.365118    59.312441    83.020607     9.981026 
  549200    -10082404    916.21944    168.41076    -10257185    174780.68    -10080923    24.165417    24.165417    59.312241    83.173739    9.9906746 
  549400    -10080561    923.59859    43.665222    -10256749    176188.35    -10080177    54.449916    54.449916    59.312041    83.161427    10.000502 
  549600    -10081194    917.39495   -274.68733    -10256199    175004.92    -10083612    62.312602    62.312602    59.311841    83.176304    10.009759 
  549800    -10082752    919.88267    117.57039    -10258232    175479.49    -10081718   -15.115222   -15.115222    59.311641    82.779124    10.018109 
  550000    -10081042    922.98679    -1244.225    -10257114    176071.64    -10091996   -24.136999   -24.136999    59.311441    83.173333    10.024722 
  550200    -10080681    923.78616   -264.29752    -10256905    176224.13    -10083007    71.958962    71.958962    59.311241     83.23826    10.031832 
  550400    -10082082    924.88235    102.68737    -10258516    176433.24    -10081179    4.9201806    4.9201806    59.311041    82.891686    10.041056 
  550600    -10081025     924.2909    683.70404    -10257346    176320.41    -10075013    9.0516999    9.0516999    59.310841      83.2328    10.045933 
  550800    -10080301    927.46086    313.17473    -10257226    176925.12    -10077546    23.670196    23.670196    59.310641    83.198212     10.05161 
  551000    -10081283    924.35188   -876.62716    -10257615    176332.05    -10088999    18.200497    18.200497    59.310441    82.960529    10.058864 
  551200    -10081182    923.25093    527.19563    -10257304    176122.03    -10076545    19.224025    19.224025    59.310241     83.06532    10.067215 
  551400    -10080660    924.15219    443.55512    -10256954    176293.95    -10076758    19.986787    19.986787    59.310041    82.995206     10.07429 
  551600    -10080375    924.91726    135.04824    -10256815     176439.9    -10079187    22.507013    22.507013    59.309841    83.027573    10.080451 
  551800    -10082141     915.7424   -613.23877    -10256831    174689.68    -10087539     64.76573     64.76573    59.309641    83.092976    10.087207 
  552000    -10080397    924.58829   -367.34634    -10256774    176377.14    -10083630    32.385443    32.385443    59.309441       83.159    10.096504 
  552200    -10080520    922.96286   -459.48632    -10256587    176067.07    -10084564    77.107603    77.107603    59.309241    83.268801    10.104055 
  552400    -10081712    920.19355    691.41652    -10257251    175538.79    -10075632    71.398429    71.398429    59.309041    83.273843    10.114532 
  552600    -10079715    925.28151    552.50197    -10256224    176509.38    -10074853    36.356329    36.356329    59.308841    82.964657    10.122579 
  552800    -10080574    922.08058   -332.51055    -10256473    175898.77    -10083501   -30.802342   -30.802342    59.308641    82.974073    10.130565 
  553000    -10081552    920.69062    166.62668    -10257185    175633.61    -10080086    65.791266    65.791266    59.308441    83.259097    10.138471 
  553200    -10079950    928.02912   -242.02465    -10256984    177033.53    -10082080    50.096808    50.096808    59.308241    83.111865    10.151828 
  553400    -10080312    925.80523    145.12768    -10256922    176609.29    -10079036    77.418009    77.418009    59.308041    83.068903    10.161874 
  553600    -10081248    920.91102    213.39419    -10256923    175675.66    -10079371    29.440403    29.440403    59.307841    83.098723    10.171419 
  553800    -10081049    923.64685   -137.95302    -10257246    176197.55    -10082262    21.036147    21.036147    59.307641    83.027942    10.179056 
  554000    -10079729    925.93933   -530.90427    -10256363    176634.87    -10084402    61.828151    61.828151    59.307441    83.145276    10.189201 
  554200    -10081670    919.53311    601.53625    -10257083     175412.8    -10076380    28.596116    28.596116    59.307241    82.900085    10.195726 
  554400    -10080999    925.95069    1198.4427    -10257636    176637.04    -10070462    35.956282    35.956282    59.307041     83.10428    10.202963 
  554600    -10079122    928.04788   -67.266757    -10256159     177037.1    -10079714    97.664925    97.664925    59.306841    83.333835    10.212424 
  554800    -10080897    923.56935   -2074.8267    -10257080    176182.77    -10099169    76.134892    76.134892    59.306641    83.203599    10.220876 
  555000    -10081669    920.16408    374.28805    -10257202    175533.17    -10078377    57.202067    57.202067    59.306441     83.14979    10.227945 
  555200    -10080774    919.05306    595.88523    -10256095    175321.23    -10075531    12.918465    12.918465    59.306241    83.268718    10.235521 
  555400    -10079869    924.15418    154.47272    -10256164    176294.33    -10078510    83.342871    83.342871    59.306041    83.179597    10.242939 
  555600    -10081921    922.85921   -81.471519    -10257968     176047.3    -10082638    36.021006    36.021006    59.305841    83.177104    10.252214 
  555800    -10080736    927.62879    286.29236    -10257693    176957.16    -10078218    29.534155    29.534155    59.305641    83.166077    10.257678 
  556000    -10080362    924.37832    110.14512    -10256699    176337.09    -10079393    1.4043093    1.4043093    59.305441     82.94277    10.265356 
  556200    -10082348    922.09529    82.363786    -10258249    175901.57    -10081623   -9.2038833   -9.2038833    59.305241    82.882948      10.2736 
  556400    -10080681    924.03258    409.12222    -10256952    176271.13    -10077082    64.149111    64.149111    59.305041    82.998192    10.280437 
  556600    -10081009    920.84486    831.62527    -10256672    175663.04    -10073693    23.523481    23.523481    59.304841    82.992408    10.291248 
  556800    -10082395    924.79682    120.62985    -10258811    176416.92    -10081334    44.980456    44.980456    59.304641    83.115225    10.299018 
  557000    -10082216     919.3311   -470.22935    -10257591    175374.27    -10086354     72.30635     72.30635    59.304441    83.261793     10.30865 
  557200    -10080781     929.5726    149.13629    -10258109    177327.96    -10079469    70.747429    70.747429    59.304241    83.096965    10.317324 
  557400    -10080647    921.27797   -792.34036    -10256392    175745.66    -10087622    10.194402    10.194402    59.304041     83.17572    10.328074 
  557600    -10082287    923.40422    428.44746    -10258438    176151.27    -10078520    75.357308    75.357308    59.303841      83.2002    10.337521 
  557800    -10080557    924.91549   -783.06287    -10256997    176439.56    -10087449    85.397676    85.397676    59.303641    83.216307    10.346444 
  558000    -10080649    920.17015      643.762    -10256183    175534.33    -10074985    31.750806    31.750806    59.303441    83.069112    10.356333 
  558200    -10081767    919.31393    1865.6441    -10257138    175370.99    -10065370    79.305733    79.305733    59.303241     83.27776    10.364872 
  558400    -10083556    916.75008   -668.35883    -10258438    174881.91    -10089436    29.179439    29.179439    59.303041    83.085865    10.373027 
  558600    -10081371     924.6237   -751.19284    -10257755     176383.9    -10087981    43.747368    43.747368    59.302841    83.103019    10.382548 
  558800    -10080330    922.58775   -132.50186    -10256326    175995.52    -10081496    42.961062    42.961062    59.302641    83.214032     10.38916 
  559000    -10081510    920.88167    216.68459    -10257180    175670.06    -10079604    60.731926    60.731926    59.302441    83.052178    10.397875 
  559200    -10081784     920.9609    100.33979    -10257469    175685.17    -10080901     60.77854     60.77854    59.302241    83.124376    10.408107 
  559400    -10080462    924.97245   -344.38115    -10256912    176450.43    -10083493     29.98934     29.98934    59.302041    83.171484    10.415118 
  559600    -10080811    928.25788    24.774401    -10257888    177077.17    -10080593    62.718606    62.718606    59.301841    83.217614    10.421873 
  559800    -10082211    922.46801   -57.038317    -10258183    175972.67    -10082712    47.135078    47.135078    59.301641    83.236446    10.430401 
  560000    -10082426    920.98154   -154.07293    -10258115    175689.11    -10083782    19.180781    19.180781    59.301441    82.984406    10.438544 
  560200    -10080644    926.81324    -28.43944    -10257446    176801.58    -10080894    48.998879    48.998879    59.301241    83.172599    10.446951 
  560400    -10081295    921.89489    97.726673    -10257158    175863.34    -10080435    31.569127    31.569127    59.301041    83.006055    10.454684 
  560600    -10082702    916.34974   -67.293451    -10257507    174805.53    -10083294    33.480744    33.480744    59.300841    83.102228    10.464114 
  560800    -10080566    926.72827    -72.88405    -10257352    176785.37    -10081208    69.474718    69.474718    59.300641    83.368604    10.472436 
  561000    -10081143     924.8695   -589.63821    -10257573    176430.79    -10086331    54.373381    54.373381    59.300441    83.191827    10.480328 
  561200    -10082265    920.96716    536.71373    -10257952    175686.37    -10077546    49.837788    49.837788    59.300241    83.268025    10.489589 
  561400    -10080132    920.42289     64.30993    -10255715    175582.54    -10079566    125.08746    125.08746    59.300041    83.223442    10.500674 
  561600    -10081195    925.04149    174.53551    -10257659     176463.6    -10079660    34.249629    34.249629    59.299841    83.317793    10.510656 
  561800    -10081695    920.38984    437.69599    -10257271    175576.24    -10077845    46.401987    46.401987    59.299641    82.971996    10.517807 
  562000    -10081075    922.97586    256.30183    -10257145    176069.55    -10078821    45.752433    45.752433    59.299441    83.184852    10.527733 
  562200    -10080932    924.39348   -100.94677    -10257272    176339.98    -10081820   -6.6556676   -6.6556676    59.299241    83.055623    10.537519 
  562400    -10080049    925.86406   -1036.3352    -10256669    176620.51    -10089173     68.93346     68.93346    59.299041    82.979168    10.547817 
  562600    -10081319     923.7649   -383.08872    -10257539    176220.07    -10084690    20.760809    20.760809    59.298841    83.049339    10.556007 
  562800    -10081984    919.13554   -1175.0894    -10257321    175336.96    -10092330     38.39637     38.39637    59.298641    83.116431    10.563034 
  563000    -10079936    925.48149    939.16562    -10256484    176547.53    -10071676    86.723922    86.723922    59.298441    83.231951    10.572378 
  563200    -10081464    923.60739    888.30754    -10257654    176190.02    -10073651    21.129722    21.129722    59.298241    83.012971    10.582276 
  563400    -10081345    921.79876   -538.76976    -10257190    175845.01    -10086087    52.140764    52.140764    59.298041    83.203893    10.591071 
  563600    -10079388    925.40765   -485.94529    -10255922    176533.45    -10083666    66.873108    66.873108    59.297841    83.030897    10.598844 
  563800    -10081177    922.10767    -294.8108    -10257081    175903.93    -10083772    62.485396    62.485396    59.297641    83.093471    10.607775 
  564000    -10081362     922.5969    502.08945    -10257360    175997.26    -10076947    1.2840834    1.2840834    59.297441    83.082322    10.616431 
  564200    -10080206    927.00332    2045.7075    -10257044    176837.84    -10062225    58.096723    58.096723    59.297241     82.96614    10.623487 
  564400    -10080672     925.0564   -959.73147    -10257138    176466.44    -10089120    28.148934    28.148934    59.297041    83.100382    10.631819 
  564600    -10081633    923.42291   -239.59736    -10257788    176154.83    -10083741    35.586714    35.586714    59.296841    83.070861    10.639931 
  564800    -10080349    924.18204   -520.16129    -10256648    176299.65    -10084927    30.080648    30.080648    59.296641     83.14108    10.646698 
  565000    -10078987    925.36315   -374.96361    -10255512    176524.96    -10082288    54.368392    54.368392    59.296441    83.215106    10.652942 
  565200    -10081661    922.69164    610.05445    -10257676    176015.33    -10076296    55.370279    55.370279    59.296241    83.060336    10.661955 
  565400    -10081395    923.53086   -1298.1007    -10257571    176175.43    -10092821    22.304607    22.304607    59.296041    82.958687    10.670518 
  565600    -10080134    926.46898    693.24544    -10256870    176735.91    -10074037    62.060771    62.060771    59.295841    83.127092    10.680488 
  565800    -10082497    923.79361    178.18597    -10258723    176225.55    -10080931    63.700849    63.700849    59.295641    83.444909    10.689713 
  566000    -10081015    924.30573   -516.97139    -10257338    176323.24    -10085564    62.674423    62.674423    59.295441    83.202442    10.699116 
  566200    -10080712    922.52479    1119.7078    -10256696     175983.5    -10070863    49.095025    49.095025    59.295241    83.142694     10.70795 
  566400    -10083074    918.20044   -582.51993    -10258232    175158.58    -10088199    11.319451    11.319451    59.295041    82.904356    10.718366 
  566600    -10081744    920.65615    1317.1056    -10257371    175627.04    -10070164    33.036462    33.036462    59.294841    83.036828    10.727693 
  566800    -10080688    926.88625   -546.64543    -10257503    176815.51    -10085498    101.91643    101.91643    59.294641     83.20421    10.737928 
  567000    -10081193    919.85042   -600.16701    -10256666    175473.33    -10086475    81.336969    81.336969    59.294441    83.222172    10.748287 
  567200    -10082254    917.56219   -672.15775    -10257291    175036.82    -10088169    9.6003883    9.6003883    59.294241    83.100506    10.756274 
  567400    -10080396    922.42476   -712.84758    -10256361    175964.42    -10086671    54.413213    54.413213    59.294041    83.167676    10.762847 
  567600    -10081091    922.19505    303.32931    -10257011     175920.6    -10078422    17.928586    17.928586    59.293841    82.993448    10.772684 
  567800    -10082993    921.34829    116.50243    -10258752    175759.07    -10081968    58.282695    58.282695    59.293641    83.086755     10.78147 
  568000    -10082318    923.04779    -553.9674    -10258401    176083.27    -10087191   -14.859205   -14.859205    59.293441    82.984756    10.789641 
  568200    -10080809    924.72727    48.921824    -10257213    176403.66    -10080379    11.399472    11.399472    59.293241    83.253238    10.796526 
  568400    -10080510    920.22301    168.47652    -10256054    175544.41    -10079027    28.596438    28.596438    59.293041    83.145965    10.803071 
  568600    -10082426    917.56012    955.58735    -10257463    175036.43    -10074025    48.624899    48.624899    59.292841    83.248069    10.810738 
  568800    -10080924    921.52758   -933.61374    -10256717    175793.27    -10089143    39.630946    39.630946    59.292641    83.149202    10.816487 
  569000    -10080981    922.57198    499.25552    -10256973    175992.51    -10076589    38.389142    38.389142    59.292441    83.069264    10.826658 
  569200    -10082377    921.44076    973.34521    -10258153    175776.71    -10073821    29.722466    29.722466    59.292241    83.014051    10.836357 
  569400    -10081741    926.03835    526.26694    -10258395    176653.76    -10077114      39.3539      39.3539    59.292041    83.005588    10.844021 
  569600    -10080790    927.36596    162.19289    -10257697    176907.02    -10079364    54.053572    54.053572    59.291841    83.046736    10.851264 
  569800    -10081677    923.68222   -781.20118    -10257881     176204.3    -10088550    44.998481    44.998481    59.291641    82.957821    10.860453 
  570000    -10082483     921.6176   -147.19979    -10258294    175810.45    -10083778    37.449088    37.449088    59.291441    82.898271    10.868101 
  570200    -10080640    921.41322   -736.77633    -10256412    175771.46    -10087126    68.765977    68.765977    59.291241    83.159503    10.880164 
  570400    -10081489    924.03658    331.87647    -10257761     176271.9    -10078570    6.2663225    6.2663225    59.291041    83.091827    10.889811 
  570600    -10082534    917.30305   -445.84006    -10257521    174987.39    -10086457   -38.558869   -38.558869    59.290841    82.882216    10.898068 
  570800    -10080319    924.11459   -489.63788    -10256606    176286.78    -10084629    40.071441    40.071441    59.290641    83.035721    10.906626 
  571000    -10081639     922.7994    1098.6011    -10257675    176035.89    -10071981    54.948106    54.948106    59.290441    83.132343    10.916547 
  571200    -10081746    922.32835    230.36132    -10257692    175946.03    -10079719    36.319926    36.319926    59.290241    82.804397    10.926679 
  571400    -10080103    925.31342    470.55216    -10256618    176515.47    -10075963    125.21815    125.21815    59.290041    83.463164     10.93696 
  571600    -10081869    918.75294   -280.57482    -10257133    175263.98    -10084338    1.5998669    1.5998669    59.289841    83.043692    10.946619 
  571800    -10081220    925.48624    585.58352    -10257768    176548.44    -10076070    7.9464565    7.9464565    59.289641    83.163675    10.954467 
  572000    -10078722    926.86401   -658.26876    -10255533    176811.27    -10084518    38.595465    38.595465    59.289441    82.917604    10.961072 
  572200    -10080627    924.00167    -170.3689    -10256892    176265.24    -10082126   -2.3479363   -2.3479363    59.289241     82.87504     10.97044 
  572400    -10081616    924.25041   -423.49398    -10257929    176312.69    -10085343    42.382063    42.382063    59.289041    83.099509    10.977643 
  572600    -10080269    929.00233   -443.53045    -10257488    177219.18    -10084172    66.478586    66.478586    59.288841    83.223756    10.986187 
  572800    -10080428    923.31251    -186.8002    -10256562    176133.77    -10082072    30.209323    30.209323    59.288641    82.946019    10.994581 
  573000    -10081474    920.22096     263.0809    -10257018    175544.02    -10079160    33.704958    33.704958    59.288441    83.158035    11.003289 
  573200    -10080713    925.10984   -255.71208    -10257189    176476.64    -10082963    2.4170476    2.4170476    59.288241    83.152558    11.009053 
  573400    -10078901    928.09252   -102.09968    -10255947    177045.62    -10079800    53.461945    53.461945    59.288041    83.094738    11.015008 
  573600    -10081068    923.44927     84.45667    -10257228    176159.86    -10080325     9.612454     9.612454    59.287841     82.91439     11.02344 
  573800    -10081509    920.13761   -131.58303    -10257037    175528.12    -10082667   -9.4920969   -9.4920969    59.287641    82.854364      11.0327 
  574000    -10079730    926.04721   -345.12805    -10256385    176655.45    -10082767    36.443652    36.443652    59.287441    82.950871    11.041551 
  574200    -10081529    922.56821   -121.07179    -10257521    175991.79    -10082594    25.890857    25.890857    59.287241    83.053685    11.050534 
  574400    -10081411    923.65085   -129.46371    -10257609    176198.32    -10082550    46.929486    46.929486    59.287041    83.388416    11.060113 
  574600    -10080057    925.69664    45.887912    -10256645    176588.58    -10079653    80.577844    80.577844    59.286841    83.096989    11.070884 
  574800    -10082127    921.48483   -55.943289    -10257912    175785.12    -10082619     23.80022     23.80022    59.286641    83.101504    11.077575 
  575000    -10081190    922.88318    90.142039    -10257242    176051.87    -10080397    42.215492    42.215492    59.286441    83.127575    11.085284 
  575200    -10080472    924.20159   -740.74225    -10256776    176303.38    -10086993    51.895176    51.895176    59.286241    82.956138    11.095469 
  575400    -10081032     926.5709    654.08884    -10257788    176755.35    -10075281    10.518858    10.518858    59.286041    82.737442    11.104621 
  575600    -10081095    925.91534   -308.70126    -10257725     176630.3    -10083811    54.266003    54.266003    59.285841    83.190804     11.11441 
  575800    -10081476    922.36134    89.841235    -10257428    175952.32    -10080686    72.703053    72.703053    59.285641    83.316052    11.123453 
  576000    -10081399    922.23416   -2111.8153    -10257327    175928.06    -10099998    68.401185    68.401185    59.285441    83.134654    11.131942 
  576200    -10079858    927.05807   -708.15407    -10256706    176848.29    -10086091    25.480312    25.480312    59.285241    83.083138    11.140941 
  576400    -10082009    920.99992   -494.80715    -10257702    175692.62    -10086363    57.155917    57.155917    59.285041    83.108055     11.14792 
  576600    -10081087    924.46274    25.568907    -10257440    176353.19    -10080862    37.852794    37.852794    59.284841    83.131574    11.155257 
  576800    -10080503    920.54365   -1597.0682    -10256108    175605.58    -10094570    19.090746    19.090746    59.284641     82.94252    11.163084 
  577000    -10082733    924.88486    1181.2712    -10259167    176433.72    -10072353    14.368596    14.368596    59.284441    83.469844    11.170783 
  577200    -10081070     923.4542    857.50567    -10257231     176160.8    -10073528    37.753552    37.753552    59.284241    83.118127    11.176638 
  577400    -10080663    926.53225   -867.79847    -10257411    176747.98    -10088301    15.656478    15.656478    59.284041    83.022897    11.185357 
  577600    -10082814    918.46578   -798.17768    -10258023     175209.2    -10089838    51.367325    51.367325    59.283841    83.271432    11.192981 
  577800    -10081308    919.08915   -39.851157    -10256637    175328.11    -10081659    52.369353    52.369353    59.283641    83.112402    11.199067 
  578000    -10080859    925.99275    31.336996    -10257504    176645.06    -10080583    32.394709    32.394709    59.283441    83.131604    11.209817 
  578200    -10082334    921.79825   -614.71199    -10258179    175844.91    -10087742    15.306899    15.306899    59.283241    82.845357     11.21588 
  578400    -10081602    921.10157   -684.19642    -10257314    175712.01    -10087623    66.754812    66.754812    59.283041    83.183818    11.225645 
  578600    -10080554    922.17937     211.6873    -10256472    175917.61    -10078692    68.420471    68.420471    59.282841    83.128865    11.234238 
  578800    -10082043    916.11338    849.72501    -10256803    174760.45    -10074570    31.507549    31.507549    59.282641    83.167572    11.243563 
  579000    -10081251    920.79049    446.28508    -10256904    175652.67    -10077326    68.508093    68.508093    59.282441    83.030451    11.254671 
  579200    -10080616    925.72068    971.86308    -10257209    176593.16    -10072071   -8.6061003   -8.6061003    59.282241     82.90449    11.263285 
  579400    -10081901     921.3617    457.95365    -10257663    175761.63    -10077874    4.7600369    4.7600369    59.282041     82.88594    11.270988 
  579600    -10080828    918.81269    1299.9992    -10256103    175275.37    -10069397    77.930364    77.930364    59.281841     83.17097    11.280679 
  579800    -10080285    924.86555    166.85102    -10256715    176430.04    -10078817    49.184964    49.184964    59.281641    82.950424    11.291122 
  580000    -10081917    923.66515    545.72589    -10258118    176201.04    -10077118    47.774151    47.774151    59.281441    83.110171    11.301856 
  580200    -10081134    921.78859    63.525465    -10256977    175843.07    -10080575   -5.3088912   -5.3088912    59.281241    83.015726      11.3131 
  580400    -10080559     923.8689    627.26648    -10256798    176239.91    -10075041    39.531171    39.531171    59.281041    83.079672     11.32134 
  580600    -10082166    920.20381    129.18492    -10257707    175540.75    -10081030    46.464915    46.464915    59.280841    83.042073    11.328853 
  580800    -10081018    922.28058     274.5187    -10256955    175936.92    -10078603    44.102379    44.102379    59.280641    83.122417    11.336238 
  581000    -10080538    923.57836   -43.026053    -10256722    176184.49    -10080916    42.255311    42.255311    59.280441    83.143523     11.34636 
  581200    -10081325    923.58859   -695.78036    -10257511    176186.44    -10087448     50.06877     50.06877    59.280241    83.038477    11.354881 
  581400    -10081024    922.22425    412.22871    -10256950    175926.17    -10077397    15.061942    15.061942    59.280041    82.960451    11.364752 
  581600    -10079922    927.13857    991.21887    -10256786    176863.64    -10071205    10.404457    10.404457    59.279841    83.158475    11.372119 
  581800    -10080245    923.50709    360.33712    -10256416    176170.89    -10077075      73.5337      73.5337    59.279641    82.953851    11.379681 
  582000    -10081653    920.01041    532.51025    -10257157    175503.85    -10076969    32.368707    32.368707    59.279441     82.96997        11.39 
  582200    -10080167    926.94433    906.20021    -10256993    176826.59    -10072198    83.999153    83.999153    59.279241    83.163029    11.397055 
  582400    -10080212    924.74283    60.876089    -10256619    176406.63    -10079676    40.492332    40.492332    59.279041     82.98774    11.403966 
  582600    -10081004    923.13291   -152.95039    -10257103    176099.51    -10082349    25.181738    25.181738    59.278841    83.104596    11.412816 
  582800    -10081569    923.25247    14.495761    -10257691    176122.32    -10081441    21.371419    21.371419    59.278641    82.817618    11.419486 
  583000    -10081285    925.53838   -614.56199    -10257843    176558.39    -10086693     87.20571     87.20571    59.278441    83.267851    11.426794 
  583200    -10079956    929.27869    911.42426    -10257228     177271.9    -10071940     92.34819     92.34819    59.278241    83.154898    11.436187 
  583400    -10082069    924.33756   -225.71251    -10258399    176329.31    -10084055   -13.637816   -13.637816    59.278041    82.940786    11.446356 
  583600    -10080978    923.20089   -964.57797    -10257091    176112.48    -10089469    26.951477    26.951477    59.277841    83.037863    11.454963 
  583800    -10080451    922.15433   -1123.2617    -10256363    175912.84    -10090341     69.63682     69.63682    59.277641    83.160855    11.464283 
  584000    -10081027    921.81701    614.97831    -10256875    175848.49    -10075618    26.819922    26.819922    59.277441    82.996269    11.474331 
  584200    -10081332    919.47445    460.88794    -10256734    175401.61    -10077278    70.877441    70.877441    59.277241    83.146544    11.486806 
  584400    -10080776    918.88724   -766.56638    -10256065     175289.6    -10087524    105.32499    105.32499    59.277041    83.209711    11.495126 
  584600    -10080625     923.3191    867.33702    -10256760    176135.03    -10072996    17.423248    17.423248    59.276841      82.8916    11.505647 
  584800    -10082349    918.05225    -80.23605    -10257480    175130.31    -10083055    19.460382    19.460382    59.276641    83.056886     11.51272 
  585000    -10080491    927.11599     -64.2447    -10257351    176859.34    -10081056    67.549219    67.549219    59.276441    83.139129    11.520667 
  585200    -10081061    923.18325    154.13258    -10257170    176109.11    -10079705    37.995653    37.995653    59.276241    82.997776    11.530882 
  585400    -10082222    920.05388    126.49172    -10257734    175512.15    -10081109    98.068682    98.068682    59.276041    83.173027    11.539201 
  585600    -10080095     922.7022   -475.70063    -10256112    176017.35    -10084282    99.939213    99.939213    59.275841    83.150035    11.548415 
  585800    -10081271    922.95822    737.54564    -10257338    176066.19    -10074785    48.390217    48.390217    59.275641    83.221871    11.558129 
  586000    -10081641    920.65363   -492.09132    -10257267    175626.56    -10085971    47.136581    47.136581    59.275441     83.15627    11.566049 
  586200    -10080936    921.62405    170.06705    -10256748    175811.68    -10079440    44.557407    44.557407    59.275241    83.047487    11.574778 
  586400    -10080987    923.77813    1202.3803    -10257209     176222.6    -10070414    24.345694    24.345694    59.275041    83.178708     11.58192 
  586600    -10080876    926.72647   -398.46685    -10257661    176785.03    -10084383   -6.0580442   -6.0580442    59.274841    83.054816    11.590321 
  586800    -10081538    919.36024   -52.620146    -10256918    175379.83    -10082001    64.276504    64.276504    59.274641    83.130607    11.596213 
  587000    -10081112    923.03906     374.1138    -10257194    176081.61    -10077821    54.069187    54.069187    59.274441    83.121622    11.605236 
