# Exponential Bond potential for OH 			
OHbond			
N	1600	EQ	1.7623
323	3.642	2.0729794277E-07	1.4266892138E-06
324	3.653	1.9218369481E-07	1.3226682368E-06
325	3.664	1.7817143796E-07	1.2262315070E-06
326	3.675	1.6518082524E-07	1.1368260512E-06
327	3.686	1.5313736780E-07	1.0539392140E-06
328	3.697	1.4197200785E-07	9.7709571814E-07
329	3.708	1.3162072263E-07	9.0585493896E-07
330	3.719	1.2202415736E-07	8.3980837824E-07
331	3.730	1.1312728483E-07	7.7857732164E-07
332	3.741	1.0487908993E-07	7.2181066714E-07
333	3.752	9.7232277092E-08	6.6918291185E-07
334	3.763	9.0142999089E-08	6.2039228554E-07
335	3.774	8.3570605644E-08	5.7515902026E-07
336	3.785	7.7477410318E-08	5.3322374617E-07
337	3.796	7.1828474418E-08	4.9434600426E-07
338	3.807	6.6591406657E-08	4.5830286757E-07
339	3.818	6.1736177422E-08	4.2488766292E-07
340	3.829	5.7234946579E-08	3.9390878581E-07
341	3.840	5.3061903841E-08	3.6518860180E-07
342	3.851	4.9193120769E-08	3.3856242786E-07
343	3.862	4.5606413562E-08	3.1387758818E-07
344	3.873	4.2281215859E-08	2.9099253860E-07
345	3.884	3.9198460806E-08	2.6977605510E-07
346	3.895	3.6340471728E-08	2.5010648127E-07
347	3.906	3.3690860770E-08	2.3187103076E-07
348	3.917	3.1234434928E-08	2.1496514059E-07
349	3.928	2.8957108930E-08	1.9929187151E-07
350	3.939	2.6845824472E-08	1.8476135218E-07
351	3.950	2.4888475343E-08	1.7129026389E-07
352	3.961	2.3073838002E-08	1.5880136271E-07
353	3.972	2.1391507226E-08	1.4722303665E-07
354	3.983	1.9831836444E-08	1.3648889500E-07
355	3.994	1.8385882425E-08	1.2653738764E-07
356	4.005	1.7045353994E-08	1.1731145213E-07
357	4.016	1.5802564493E-08	1.0875818646E-07
358	4.027	1.4650387704E-08	1.0082854579E-07
359	4.038	1.3582216985E-08	9.3477061150E-08
360	4.049	1.2591927392E-08	8.6661578748E-08
361	4.060	1.1673840554E-08	8.0343018263E-08
362	4.071	1.0822692113E-08	7.4485148746E-08
